	Genes	Contig	Operon	Start	End	Strand	E-value	CoverageSeq	CoverageHMM	MAG	release	chunk
94010	Cas2_2_CAS-I-II-III-IV-V-VI	NODE_1078_length_18534_cov_9.17663	NODE_1078_length_18534_cov_9.17663@1	1753	2043	-1	2.50e-28	0.856	0.987	M1856252453	Aug19	2
94011	Cas1_0_IC	NODE_1078_length_18534_cov_9.17663	NODE_1078_length_18534_cov_9.17663@1	2052	3083	-1	1.10e-144	0.985	0.997	M1856252453	Aug19	2
94012	Cas4_5_CAS-I-II-III-IV-V-VI	NODE_1078_length_18534_cov_9.17663	NODE_1078_length_18534_cov_9.17663@1	3080	3745	-1	1.90e-39	0.856	0.994	M1856252453	Aug19	2
94013	Cas7_2_CAS-I-C	NODE_1078_length_18534_cov_9.17663	NODE_1078_length_18534_cov_9.17663@1	3748	4596	-1	5.30e-102	0.954	0.922	M1856252453	Aug19	2
94014	Cas8c_3_CAS-I-C	NODE_1078_length_18534_cov_9.17663	NODE_1078_length_18534_cov_9.17663@1	4600	6567	-1	9.20e-152	0.966	0.998	M1856252453	Aug19	2
94015	Cas5_0_IC	NODE_1078_length_18534_cov_9.17663	NODE_1078_length_18534_cov_9.17663@1	6564	7301	-1	3.60e-71	0.829	0.985	M1856252453	Aug19	2
94016	Cas3_1_CAS-I	NODE_1078_length_18534_cov_9.17663	NODE_1078_length_18534_cov_9.17663@1	7316	9775	-1	1.30e-60	0.512	0.533	M1856252453	Aug19	2
94017	Cas9_0_II	NODE_2676_length_8889_cov_6.11014	NODE_2676_length_8889_cov_6.11014@1	1283	5401	1	4.40e-149	0.754	0.972	M1856252453	Aug19	2
94018	Cas1_4_CAS-I-II-III-IV-V-VI	NODE_2676_length_8889_cov_6.11014	NODE_2676_length_8889_cov_6.11014@1	5415	6290	1	2.50e-92	0.918	0.996	M1856252453	Aug19	2
94019	Cas2_9_CAS-I-II-III-IV-V-VI	NODE_2676_length_8889_cov_6.11014	NODE_2676_length_8889_cov_6.11014@1	6295	6600	1	4.70e-37	0.99	1.0	M1856252453	Aug19	2
94020	Csn2_0_CAS-II-A	NODE_2676_length_8889_cov_6.11014	NODE_2676_length_8889_cov_6.11014@1	6597	7274	1	1.20e-49	0.973	0.996	M1856252453	Aug19	2
94021	RT_0_CAS-III-AM-III-B	NODE_209_length_60589_cov_12.6958	NODE_209_length_60589_cov_12.6958@2	49250	50404	1	7.00e-13	0.647	0.805	M1856252453	Aug19	2
94022	AbiEii_0_CAS-III	NODE_1220_length_16714_cov_10.0681	NODE_1220_length_16714_cov_10.0681@1	8332	9126	-1	3.20e-04	0.411	0.37	M1856252453	Aug19	2
94023	AbiEii_0_CAS-III	NODE_600_length_30126_cov_10.8377	NODE_600_length_30126_cov_10.8377@2	12806	13648	1	1.00e-08	0.441	0.437	M1856252453	Aug19	2
94024	AbiEii_0_CAS-III	NODE_7773_length_3739_cov_9.54533	NODE_7773_length_3739_cov_9.54533@1	1794	2717	1	3.80e-06	0.594	0.546	M1856252453	Aug19	2
94025	AbiEii_0_CAS-III	NODE_52_length_120729_cov_10.8635	NODE_52_length_120729_cov_10.8635@2	58583	59323	-1	4.10e-07	0.555	0.486	M1856252453	Aug19	2
94026	Cas3HD_0_CAS-I	NODE_1567_length_13843_cov_9.51661	NODE_1567_length_13843_cov_9.51661@1	4291	4881	1	3.10e-03	0.772	0.808	M1856252453	Aug19	2
94027	WYL_3_CAS-I-II-III-IV-V-VI	NODE_761_length_24909_cov_9.80237	NODE_761_length_24909_cov_9.80237@1	22758	23066	-1	2.80e-15	0.854	0.512	M1856252453	Aug19	2
94028	AbiEii_0_CAS-III	NODE_1096_length_18384_cov_9.25321	NODE_1096_length_18384_cov_9.25321@1	6468	7184	1	2.00e-05	0.485	0.384	M1856252453	Aug19	2
94029	AbiEii_0_CAS-III	NODE_935_length_21061_cov_8.06784	NODE_935_length_21061_cov_8.06784@1	12895	13566	1	4.90e-05	0.46	0.345	M1856252453	Aug19	2
94030	Csx21_0_CAS-III-A-III-D	NODE_935_length_21061_cov_8.06784	NODE_935_length_21061_cov_8.06784@1	14564	15640	1	6.60e-03	0.396	0.338	M1856252453	Aug19	2
94031	CysH_0_IVB	NODE_209_length_60589_cov_12.6958	NODE_209_length_60589_cov_12.6958@1	820	1722	1	8.00e-12	0.714	0.651	M1856252453	Aug19	2
94032	AbiEii_0_CAS-III	NODE_719_length_25909_cov_12.2348	NODE_719_length_25909_cov_12.2348@1	17911	18642	-1	2.10e-03	0.398	0.32	M1856252453	Aug19	2
94033	AbiEii_0_CAS-III	NODE_10349_length_2925_cov_8.63519	NODE_10349_length_2925_cov_8.63519@1	1490	2350	-1	2.10e-06	0.425	0.43	M1856252453	Aug19	2
94034	Csa3_1_CAS-I-II-III-IV-V-VI	NODE_264_length_53435_cov_9.29292	NODE_264_length_53435_cov_9.29292@1	17493	17966	1	5.40e-04	0.329	0.407	M1856252453	Aug19	2
